iter	RMSE
0	0.1398965372
1	0.1397344578
2	0.1395683637
3	0.1394025165
4	0.1392387662
5	0.1390748231
6	0.1389106247
7	0.1387508647
8	0.1385876863
9	0.1384267957
10	0.1382655248
11	0.1381063167
12	0.1379517296
13	0.1377937231
14	0.1376372744
15	0.1374820489
16	0.1373267591
17	0.1371708415
18	0.1370161804
19	0.1368617486
20	0.1367082446
21	0.1365553781
22	0.1364038995
23	0.1362523854
24	0.136102069
25	0.1359529684
26	0.1358036478
27	0.1356549011
28	0.1355091159
29	0.1353669076
30	0.1352233438
31	0.135076295
32	0.1349352491
33	0.1347945154
34	0.1346483015
35	0.1345055022
36	0.1343623382
37	0.1342207054
38	0.1340790012
39	0.1339380159
40	0.1337966752
41	0.13365597
42	0.1335152307
43	0.133376674
44	0.133239691
45	0.1331019293
46	0.1329683928
47	0.1328315129
48	0.1326958716
49	0.1325600556
50	0.1324258143
51	0.1322907952
52	0.1321576803
53	0.1320253197
54	0.1318930432
55	0.1317621828
56	0.1316314531
57	0.1315010286
58	0.1313744818
59	0.1312505958
60	0.1311265928
61	0.1309976896
62	0.1308701605
63	0.1307435865
64	0.1306221687
65	0.1304967355
66	0.1303710572
67	0.1302494678
68	0.1301245694
69	0.1300006001
70	0.1298769603
71	0.1297576641
72	0.1296352419
73	0.1295147805
74	0.1293922464
75	0.1292726357
76	0.1291543393
77	0.129034035
78	0.1289150092
79	0.1287969396
80	0.1286793102
81	0.1285605865
82	0.1284442701
83	0.1283267782
84	0.1282108894
85	0.128094717
86	0.1279793484
87	0.1278637563
88	0.127748821
89	0.1276354112
90	0.1275227904
91	0.1274098979
92	0.1272986958
93	0.1271864592
94	0.1270746339
95	0.1269626123
96	0.126852424
97	0.1267434642
98	0.1266321363
99	0.1265232204
100	0.1264143126
101	0.1263048049
102	0.1262004204
103	0.1260955258
104	0.1259915734
105	0.1258851261
106	0.1257808065
107	0.1256733497
108	0.1255698224
109	0.1254655827
110	0.125360796
111	0.1252582933
112	0.1251566782
113	0.1250561626
114	0.1249562416
115	0.1248550108
116	0.1247529564
117	0.1246503135
118	0.1245487652
119	0.1244479846
120	0.12435126
121	0.1242506684
122	0.1241519849
123	0.1240546298
124	0.1239569288
125	0.1238598823
126	0.123764112
127	0.1236700914
128	0.1235739347
129	0.1234784756
130	0.1233840247
131	0.1232902711
132	0.1231963997
133	0.1231036963
134	0.1230095236
135	0.122920446
136	0.1228266142
137	0.1227376136
138	0.1226457764
139	0.1225549948
140	0.1224644925
141	0.1223740011
142	0.1222883326
143	0.1221981479
144	0.1221068344
145	0.1220153939
146	0.1219242329
147	0.121837849
148	0.1217501348
149	0.1216603546
150	0.121573991
151	0.1214880488
152	0.1214010207
153	0.1213154669
154	0.1212322875
155	0.1211458549
156	0.1210605581
157	0.1209735653
158	0.1208891566
159	0.1208052653
160	0.1207208259
161	0.1206363155
162	0.120552086
163	0.120470129
164	0.1203921047
165	0.1203140219
166	0.1202324658
167	0.1201514655
168	0.1200692152
169	0.1199886333
170	0.1199103036
171	0.1198319267
172	0.1197550475
173	0.1196803301
174	0.1196007779
175	0.119524133
176	0.1194466724
177	0.1193693493
178	0.1192911846
179	0.1192146367
180	0.1191385718
181	0.119062194
182	0.1189864966
183	0.1189102096
184	0.1188350694
185	0.1187592914
186	0.1186878443
187	0.1186135562
188	0.1185399979
189	0.1184654078
190	0.1183954105
191	0.1183243683
192	0.1182510454
193	0.1181772655
194	0.1181066735
195	0.1180359665
196	0.11796664
197	0.1178962333
198	0.1178256186
199	0.1177560387
200	0.1176856356
201	0.1176170067
202	0.1175495303
203	0.1174824819
204	0.1174154359
205	0.1173464539
206	0.1172800294
207	0.1172124973
208	0.1171468435
209	0.1170780943
210	0.1170102949
211	0.1169460118
212	0.1168834557
213	0.1168168944
214	0.1167505853
215	0.1166846225
216	0.1166191254
217	0.1165538656
218	0.1164887698
219	0.1164242192
220	0.1163617801
221	0.1162977617
222	0.1162352136
223	0.1161715811
224	0.1161106981
225	0.1160470261
226	0.1159837837
227	0.1159208235
228	0.1158585659
229	0.1157972218
230	0.1157372172
231	0.1156765385
232	0.1156159351
233	0.1155557621
234	0.1154996822
235	0.1154412454
236	0.1153809524
237	0.1153211116
238	0.1152635109
239	0.1152055669
240	0.1151469105
241	0.1150881537
242	0.1150335164
243	0.1149780194
244	0.1149227654
245	0.1148659406
246	0.1148110147
247	0.1147565196
248	0.1146990429
249	0.1146429224
250	0.1145878314
251	0.1145310402
252	0.1144749748
253	0.1144185401
254	0.1143649129
255	0.1143096587
256	0.1142544529
257	0.1142002559
258	0.1141461251
259	0.1140939706
260	0.1140404541
