iter	Passed	Remaining
0	27	55094
1	50	50186
2	73	49035
3	103	51801
4	133	53121
5	157	52305
6	184	52621
7	210	52480
8	231	51234
9	254	50599
10	276	49982
11	311	51643
12	339	51965
13	363	51494
14	389	51528
15	415	51472
16	438	51193
17	460	50757
18	486	50764
19	514	50924
20	542	51121
21	564	50781
22	586	50416
23	611	50357
24	638	50463
25	662	50269
26	684	49997
27	705	49708
28	729	49604
29	755	49581
30	777	49365
31	799	49150
32	822	49027
33	846	48937
34	868	48762
35	902	49249
36	924	49064
37	948	48951
38	972	48898
39	1003	49162
40	1030	49257
41	1062	49510
42	1083	49309
43	1103	49077
44	1126	48928
45	1148	48793
46	1178	48988
47	1199	48799
48	1228	48925
49	1255	48960
50	1277	48825
51	1299	48668
52	1330	48886
53	1352	48733
54	1377	48705
55	1407	48861
56	1430	48776
57	1453	48671
58	1478	48626
59	1501	48559
60	1528	48578
61	1555	48622
62	1579	48577
63	1601	48456
64	1639	48794
65	1674	49077
66	1700	49052
67	1722	48941
68	1745	48854
69	1779	49058
70	1804	49022
71	1826	48914
72	1850	48852
73	1873	48770
74	1897	48702
75	1918	48568
76	1941	48489
77	1963	48386
78	1986	48298
79	2009	48219
80	2033	48171
81	2057	48126
82	2079	48030
83	2106	48042
84	2131	48021
85	2153	47927
86	2176	47849
87	2198	47767
88	2221	47689
89	2243	47612
90	2265	47534
91	2288	47467
92	2312	47427
93	2334	47344
94	2356	47254
95	2378	47178
96	2402	47143
97	2424	47061
98	2446	46968
99	2467	46888
100	2489	46804
101	2512	46752
102	2534	46683
103	2555	46594
104	2578	46540
105	2602	46496
106	2626	46458
107	2647	46378
108	2668	46297
109	2689	46218
110	2713	46173
111	2734	46102
112	2755	46015
113	2777	45949
114	2799	45885
115	2824	45876
116	2848	45849
117	2871	45793
118	2893	45737
119	2916	45699
120	2938	45633
121	2960	45578
122	2982	45515
123	3004	45453
124	3027	45408
125	3049	45358
126	3074	45341
127	3096	45290
128	3119	45241
129	3140	45174
130	3161	45100
131	3183	45045
132	3203	44971
133	3226	44926
134	3247	44861
135	3268	44792
136	3289	44730
137	3311	44679
138	3335	44658
139	3357	44600
140	3379	44559
141	3401	44504
142	3423	44454
143	3445	44404
144	3465	44339
145	3487	44285
146	3508	44224
147	3530	44180
148	3553	44141
149	3574	44091
150	3597	44046
151	3618	43998
152	3641	43962
153	3663	43915
154	3686	43884
155	3709	43842
156	3731	43806
157	3754	43772
158	3776	43731
159	3798	43682
160	3820	43644
161	3844	43622
162	3868	43592
163	3889	43547
164	3910	43493
165	3932	43447
166	3955	43410
167	3976	43363
168	3998	43317
169	4018	43262
170	4039	43208
171	4064	43192
172	4085	43148
173	4107	43103
174	4129	43064
175	4152	43037
176	4176	43015
177	4198	42979
178	4220	42934
179	4242	42895
180	4265	42863
181	4288	42836
182	4309	42789
183	4331	42747
184	4355	42727
185	4377	42693
186	4398	42648
187	4421	42613
188	4442	42568
189	4464	42532
190	4489	42517
191	4510	42477
192	4533	42441
193	4554	42402
194	4578	42384
195	4602	42357
196	4623	42316
197	4645	42279
198	4669	42257
199	4691	42222
200	4712	42181
201	4734	42140
202	4756	42105
203	4781	42098
204	4803	42060
205	4825	42027
